Region,Counter Strike: (2012),Fortnite: (2012),Dota 2: (2012),League of Legends: (2012),PUBG: (2012)
Hawaii,4%,,15%,81%,
Oregon,7%,<1%,17%,76%,
Nevada,8%,,15%,77%,
California,7%,<1%,19%,74%,
Washington,6%,<1%,19%,75%,
Idaho,5%,,15%,80%,
Utah,6%,<1%,20%,74%,
South Dakota,,,19%,81%,
Indiana,7%,,18%,75%,
Arizona,7%,<1%,17%,76%,
North Dakota,6%,<1%,23%,71%,
Montana,6%,,11%,83%,
Arkansas,5%,,14%,81%,
Virginia,8%,<1%,18%,74%,
Oklahoma,8%,<1%,18%,74%,
Kansas,6%,<1%,19%,75%,
Minnesota,7%,<1%,17%,76%,
Ohio,8%,<1%,16%,76%,
Wisconsin,8%,<1%,19%,73%,
New Jersey,8%,<1%,19%,73%,
Iowa,5%,<1%,24%,71%,
Kentucky,8%,<1%,12%,80%,
New Hampshire,10%,<1%,18%,72%,
Michigan,8%,<1%,17%,75%,
Delaware,7%,,20%,73%,
Maryland,8%,<1%,20%,72%,
Florida,8%,<1%,17%,75%,
Maine,8%,<1%,15%,77%,
Rhode Island,6%,,24%,70%,
New Mexico,10%,,12%,78%,
Vermont,8%,,20%,72%,
West Virginia,6%,,24%,70%,
Alaska,12%,,29%,59%,
Pennsylvania,8%,<1%,20%,72%,
Missouri,7%,<1%,20%,73%,
Nebraska,5%,<1%,18%,77%,
Tennessee,9%,<1%,17%,74%,
Louisiana,8%,<1%,16%,76%,
Alabama,10%,<1%,17%,73%,
Colorado,7%,<1%,17%,76%,
Connecticut,13%,<1%,18%,69%,
South Carolina,7%,<1%,16%,77%,
Texas,8%,<1%,17%,75%,
Massachusetts,9%,<1%,21%,70%,
North Carolina,9%,<1%,17%,74%,
Wyoming,,,23%,77%,
New York,8%,<1%,20%,72%,
Georgia,6%,<1%,17%,77%,
Illinois,10%,<1%,19%,71%,<1%
Mississippi,8%,<1%,15%,77%,
District of Columbia,10%,1%,21%,68%,
