Region,Counter Strike: (2018),Fortnite: (2018),Dota 2: (2018),League of Legends: (2018),PUBG: (2018)
Iowa,<1%,90%,<1%,3%,7%
Rhode Island,<1%,92%,<1%,2%,6%
Indiana,<1%,89%,1%,2%,8%
Nebraska,<1%,91%,<1%,2%,7%
West Virginia,<1%,89%,<1%,2%,9%
South Dakota,,89%,<1%,3%,8%
Kentucky,<1%,89%,<1%,2%,9%
Kansas,<1%,89%,1%,2%,8%
New Jersey,<1%,91%,1%,2%,6%
Utah,<1%,88%,1%,3%,8%
Ohio,<1%,90%,<1%,2%,8%
Connecticut,<1%,91%,1%,2%,6%
Hawaii,<1%,87%,1%,4%,8%
Wisconsin,<1%,89%,<1%,3%,8%
North Dakota,<1%,88%,1%,2%,9%
Arkansas,<1%,89%,<1%,2%,9%
Nevada,<1%,88%,<1%,4%,8%
Illinois,<1%,90%,1%,2%,7%
Michigan,<1%,89%,<1%,2%,9%
Minnesota,<1%,89%,1%,3%,7%
Pennsylvania,<1%,90%,<1%,2%,8%
Oklahoma,<1%,88%,<1%,3%,9%
Texas,<1%,89%,<1%,3%,8%
California,<1%,87%,1%,4%,8%
Delaware,<1%,90%,<1%,3%,7%
Alabama,<1%,90%,<1%,2%,8%
Arizona,<1%,89%,1%,2%,8%
North Carolina,<1%,90%,<1%,2%,8%
Missouri,<1%,88%,<1%,3%,9%
Maine,<1%,89%,<1%,2%,9%
South Carolina,<1%,91%,<1%,2%,7%
New Hampshire,<1%,89%,1%,2%,8%
Mississippi,<1%,90%,<1%,2%,8%
Idaho,<1%,86%,1%,3%,10%
Colorado,<1%,88%,1%,2%,9%
Massachusetts,<1%,89%,1%,3%,7%
New Mexico,<1%,89%,<1%,2%,9%
Georgia,<1%,90%,<1%,3%,7%
Virginia,<1%,88%,1%,3%,8%
Maryland,<1%,89%,1%,3%,7%
Florida,<1%,89%,<1%,3%,8%
Tennessee,<1%,89%,<1%,2%,9%
Louisiana,<1%,90%,<1%,2%,8%
Vermont,<1%,87%,1%,2%,10%
New York,<1%,89%,1%,3%,7%
Wyoming,,86%,<1%,3%,11%
Washington,<1%,83%,2%,4%,11%
Montana,<1%,87%,<1%,2%,11%
Alaska,<1%,81%,1%,3%,15%
Oregon,<1%,85%,1%,4%,10%
District of Columbia,<1%,84%,3%,4%,9%
