Region,Counter Strike: (2020),Fortnite: (2020),Dota 2: (2020),League of Legends: (2020),PUBG: (2020)
West Virginia,<1%,91%,1%,4%,4%
Kentucky,<1%,91%,<1%,5%,4%
Indiana,<1%,91%,1%,5%,3%
Iowa,<1%,90%,1%,5%,4%
Oklahoma,<1%,90%,<1%,6%,4%
Arizona,<1%,89%,1%,6%,4%
Ohio,<1%,91%,<1%,5%,4%
New Mexico,<1%,91%,1%,4%,4%
Delaware,<1%,91%,1%,5%,3%
Kansas,<1%,89%,1%,6%,4%
Arkansas,<1%,90%,<1%,5%,5%
California,<1%,86%,1%,9%,4%
Texas,<1%,89%,1%,6%,4%
Missouri,<1%,90%,1%,6%,3%
Nevada,<1%,87%,1%,8%,4%
Illinois,<1%,90%,1%,5%,4%
Michigan,<1%,90%,1%,6%,3%
Nebraska,<1%,90%,1%,6%,3%
Pennsylvania,<1%,91%,1%,5%,3%
Mississippi,<1%,91%,<1%,5%,4%
North Carolina,<1%,90%,1%,5%,4%
Wisconsin,<1%,90%,1%,6%,3%
Utah,<1%,87%,1%,8%,4%
Alabama,<1%,91%,1%,5%,3%
New Jersey,<1%,88%,1%,7%,4%
Connecticut,<1%,90%,1%,6%,3%
Idaho,<1%,88%,1%,7%,4%
South Carolina,<1%,91%,1%,5%,3%
Rhode Island,<1%,89%,1%,6%,4%
South Dakota,,89%,1%,5%,5%
Maine,<1%,89%,1%,7%,3%
Tennessee,<1%,91%,<1%,5%,4%
Louisiana,<1%,91%,1%,5%,3%
Hawaii,<1%,82%,1%,11%,6%
New Hampshire,<1%,90%,1%,6%,3%
Alaska,<1%,81%,1%,7%,11%
North Dakota,<1%,88%,<1%,7%,5%
Georgia,<1%,90%,1%,5%,4%
Maryland,<1%,88%,1%,7%,4%
Minnesota,<1%,88%,1%,7%,4%
Wyoming,,89%,1%,5%,5%
Virginia,<1%,86%,1%,8%,5%
Washington,<1%,83%,2%,9%,6%
Florida,<1%,89%,1%,6%,4%
Massachusetts,<1%,87%,1%,8%,4%
Vermont,<1%,89%,2%,6%,3%
Colorado,<1%,88%,1%,7%,4%
Oregon,<1%,86%,1%,9%,4%
New York,<1%,87%,1%,7%,5%
Montana,<1%,86%,<1%,8%,6%
District of Columbia,<1%,86%,2%,7%,5%
