Region,Counter Strike: (2011),Fortnite: (2011),Dota 2: (2011),League of Legends: (2011),PUBG: (2011)
Hawaii,8%,,6%,86%,
Nevada,10%,,8%,82%,
Washington,8%,<1%,8%,84%,
Oregon,7%,<1%,8%,85%,<1%
Alaska,5%,<1%,14%,81%,
California,8%,<1%,9%,83%,
Utah,6%,,11%,83%,
Idaho,11%,,9%,80%,
North Dakota,4%,,6%,90%,
Indiana,8%,,8%,84%,
Montana,7%,,3%,90%,
Michigan,8%,,7%,85%,
Arkansas,11%,,5%,84%,
Iowa,8%,,9%,83%,
South Dakota,,,8%,92%,
New Hampshire,10%,1%,5%,84%,
Minnesota,7%,<1%,8%,85%,
Vermont,12%,,5%,83%,
Wisconsin,8%,<1%,7%,85%,
Kansas,10%,<1%,7%,83%,
Missouri,8%,<1%,6%,86%,
Virginia,8%,<1%,9%,83%,
Arizona,8%,,8%,84%,
Louisiana,10%,,7%,83%,<1%
Rhode Island,7%,,8%,85%,
New Jersey,9%,,9%,82%,
Maryland,8%,<1%,9%,83%,
Delaware,7%,,8%,85%,
Oklahoma,11%,<1%,10%,79%,
Maine,15%,,7%,78%,
Florida,10%,,7%,83%,
Alabama,13%,<1%,6%,81%,
Ohio,9%,<1%,8%,83%,
Connecticut,9%,<1%,9%,82%,
West Virginia,10%,,10%,80%,
Pennsylvania,9%,<1%,8%,83%,
Kentucky,8%,<1%,9%,83%,
Texas,10%,<1%,7%,83%,
Nebraska,6%,,10%,84%,
Tennessee,11%,<1%,7%,82%,
Colorado,8%,,8%,84%,
Illinois,11%,<1%,9%,80%,
Massachusetts,10%,<1%,9%,81%,
New Mexico,8%,,12%,80%,
North Carolina,11%,<1%,7%,82%,
Georgia,9%,,7%,84%,
South Carolina,11%,<1%,8%,81%,
Mississippi,10%,,8%,82%,
Wyoming,,,8%,92%,
New York,12%,<1%,9%,79%,
District of Columbia,10%,,9%,81%,
