Region,Counter Strike: (2019),Fortnite: (2019),Dota 2: (2019),League of Legends: (2019),PUBG: (2019)
West Virginia,<1%,92%,<1%,3%,5%
South Dakota,,92%,1%,3%,4%
Kentucky,<1%,92%,<1%,3%,5%
Iowa,<1%,91%,1%,4%,4%
Indiana,<1%,91%,1%,4%,4%
Arkansas,<1%,91%,<1%,4%,5%
Kansas,<1%,90%,1%,5%,4%
Mississippi,<1%,93%,<1%,3%,4%
Nebraska,<1%,92%,1%,3%,4%
Ohio,<1%,92%,1%,3%,4%
North Dakota,<1%,89%,1%,5%,5%
Oklahoma,<1%,91%,<1%,3%,6%
Rhode Island,<1%,92%,1%,3%,4%
Nevada,<1%,89%,1%,5%,5%
South Carolina,<1%,93%,<1%,3%,4%
Michigan,<1%,90%,1%,4%,5%
Wisconsin,<1%,91%,1%,4%,4%
North Carolina,<1%,92%,<1%,3%,5%
California,<1%,88%,1%,6%,5%
New Mexico,<1%,91%,1%,3%,5%
Alabama,<1%,92%,<1%,3%,5%
Illinois,<1%,91%,1%,4%,4%
Texas,<1%,90%,1%,4%,5%
Missouri,<1%,91%,<1%,4%,5%
Minnesota,<1%,90%,1%,5%,4%
Delaware,<1%,92%,1%,3%,4%
Pennsylvania,<1%,91%,1%,4%,4%
Wyoming,,91%,<1%,3%,6%
Maine,<1%,91%,1%,4%,4%
Arizona,<1%,89%,1%,5%,5%
Utah,<1%,88%,1%,6%,5%
New Jersey,<1%,90%,1%,4%,5%
Virginia,<1%,89%,1%,5%,5%
Connecticut,<1%,91%,1%,4%,4%
Georgia,<1%,91%,<1%,4%,5%
Louisiana,<1%,91%,<1%,4%,5%
Tennessee,<1%,91%,<1%,4%,5%
Hawaii,<1%,85%,1%,7%,7%
Idaho,<1%,88%,1%,6%,5%
Colorado,<1%,89%,1%,5%,5%
Maryland,<1%,89%,1%,5%,5%
Vermont,<1%,90%,2%,4%,4%
Florida,<1%,90%,1%,5%,4%
New Hampshire,<1%,91%,1%,4%,4%
Oregon,<1%,87%,1%,6%,6%
Washington,<1%,84%,2%,7%,7%
Alaska,<1%,79%,2%,7%,12%
Massachusetts,<1%,88%,2%,6%,4%
Montana,<1%,87%,2%,4%,7%
New York,<1%,89%,1%,5%,5%
District of Columbia,<1%,82%,3%,7%,8%
