Region,Counter Strike: (2016),Fortnite: (2016),Dota 2: (2016),League of Legends: (2016),PUBG: (2016)
Hawaii,4%,<1%,19%,77%,
Alaska,6%,,20%,74%,
California,5%,<1%,23%,72%,
Nevada,6%,<1%,19%,75%,
Washington,5%,<1%,31%,64%,
Utah,5%,<1%,26%,69%,
Minnesota,5%,<1%,22%,73%,
Rhode Island,5%,,21%,74%,
Iowa,5%,<1%,21%,74%,
Oregon,9%,<1%,23%,68%,
Wisconsin,5%,<1%,21%,74%,
New Hampshire,7%,,27%,66%,
Idaho,6%,,22%,72%,
North Dakota,6%,,21%,73%,
Virginia,6%,<1%,25%,69%,
Indiana,5%,<1%,21%,74%,
Kansas,7%,<1%,22%,71%,
Arizona,6%,<1%,23%,71%,
Maine,9%,,21%,70%,
Massachusetts,4%,<1%,28%,68%,
South Dakota,,,23%,77%,
New Jersey,7%,<1%,24%,69%,
Montana,6%,<1%,25%,69%,
New York,7%,<1%,25%,68%,
Florida,7%,<1%,20%,73%,
Michigan,8%,<1%,23%,69%,<1%
Maryland,6%,<1%,25%,69%,
Connecticut,6%,<1%,27%,67%,
Nebraska,5%,,23%,72%,
Oklahoma,8%,<1%,24%,68%,
Missouri,5%,<1%,24%,71%,
Texas,6%,<1%,22%,72%,
Ohio,7%,<1%,24%,69%,<1%
Louisiana,6%,<1%,17%,77%,
Colorado,7%,<1%,27%,66%,
Delaware,5%,<1%,31%,64%,
Wyoming,,1%,21%,78%,
New Mexico,6%,,29%,65%,
Illinois,6%,<1%,26%,68%,
Pennsylvania,6%,<1%,28%,66%,
Kentucky,8%,,19%,73%,<1%
West Virginia,7%,,22%,71%,
Arkansas,5%,1%,21%,73%,
Vermont,8%,<1%,35%,57%,
North Carolina,7%,<1%,23%,70%,
Georgia,7%,<1%,20%,73%,<1%
Alabama,8%,<1%,20%,72%,
South Carolina,6%,<1%,20%,74%,
Mississippi,5%,,20%,75%,
Tennessee,7%,<1%,25%,68%,
District of Columbia,4%,,37%,59%,
