Region,Counter Strike: (2021),Fortnite: (2021),Dota 2: (2021),League of Legends: (2021),PUBG: (2021)
West Virginia,<1%,92%,1%,4%,3%
Kentucky,<1%,91%,1%,5%,3%
New Mexico,<1%,91%,1%,4%,4%
Oklahoma,<1%,89%,1%,6%,4%
Indiana,<1%,90%,1%,5%,4%
Delaware,<1%,91%,1%,5%,3%
Arkansas,<1%,88%,1%,6%,5%
Missouri,<1%,89%,1%,6%,4%
South Dakota,,88%,2%,5%,5%
California,<1%,84%,2%,9%,5%
Mississippi,<1%,92%,<1%,4%,4%
Ohio,<1%,90%,1%,5%,4%
Nevada,<1%,86%,2%,8%,4%
Texas,<1%,88%,1%,6%,5%
Maryland,<1%,88%,1%,8%,3%
Vermont,<1%,90%,1%,4%,5%
Arizona,<1%,87%,1%,8%,4%
Pennsylvania,<1%,90%,1%,6%,3%
Iowa,<1%,89%,1%,6%,4%
Michigan,<1%,89%,1%,7%,3%
North Carolina,<1%,90%,1%,5%,4%
Rhode Island,<1%,89%,2%,7%,2%
Louisiana,<1%,90%,1%,6%,3%
Tennessee,<1%,90%,1%,5%,4%
Virginia,<1%,85%,2%,7%,6%
Alabama,<1%,90%,1%,5%,4%
Utah,<1%,85%,2%,10%,3%
Illinois,<1%,89%,1%,6%,4%
Nebraska,<1%,90%,2%,5%,3%
North Dakota,<1%,85%,2%,10%,3%
Kansas,<1%,87%,1%,8%,4%
South Carolina,<1%,91%,1%,5%,3%
Alaska,<1%,80%,2%,7%,11%
Idaho,<1%,87%,1%,8%,4%
New Jersey,<1%,86%,2%,6%,6%
Washington,<1%,81%,3%,9%,7%
Maine,<1%,88%,2%,6%,4%
New Hampshire,<1%,90%,1%,6%,3%
Wisconsin,<1%,88%,1%,7%,4%
Wyoming,,90%,2%,6%,2%
Georgia,<1%,88%,1%,6%,5%
Minnesota,<1%,87%,2%,8%,3%
Connecticut,<1%,88%,2%,7%,3%
Oregon,<1%,84%,2%,9%,5%
Florida,<1%,87%,1%,7%,5%
Colorado,<1%,85%,2%,7%,6%
Massachusetts,<1%,86%,2%,9%,3%
Montana,<1%,86%,1%,7%,6%
Hawaii,<1%,76%,3%,13%,8%
New York,<1%,84%,2%,7%,7%
District of Columbia,,82%,6%,9%,3%
