Region,Counter Strike: (2017),Fortnite: (2017),Dota 2: (2017),League of Legends: (2017),PUBG: (2017)
Hawaii,1%,23%,8%,43%,25%
California,2%,21%,13%,40%,24%
Utah,2%,25%,11%,36%,26%
Iowa,2%,35%,9%,29%,25%
Washington,1%,21%,17%,32%,29%
North Dakota,1%,31%,8%,26%,34%
Alaska,1%,23%,10%,32%,34%
Nevada,2%,27%,9%,37%,25%
Idaho,3%,25%,9%,33%,30%
South Dakota,,37%,6%,33%,24%
Minnesota,2%,28%,10%,35%,25%
Arizona,2%,30%,8%,35%,25%
Indiana,2%,35%,8%,28%,27%
West Virginia,1%,33%,7%,29%,30%
Nebraska,2%,35%,10%,27%,26%
Ohio,2%,34%,9%,29%,26%
Oregon,4%,24%,12%,31%,29%
Kentucky,2%,36%,7%,26%,29%
Kansas,3%,26%,10%,34%,27%
Virginia,4%,26%,12%,32%,26%
New Hampshire,1%,29%,13%,27%,30%
Rhode Island,2%,35%,8%,31%,24%
Wisconsin,2%,30%,10%,30%,28%
Colorado,2%,26%,11%,33%,28%
New Jersey,3%,27%,12%,34%,24%
Oklahoma,1%,31%,10%,30%,28%
Massachusetts,2%,24%,15%,33%,26%
Montana,1%,33%,9%,26%,31%
Missouri,2%,30%,9%,31%,28%
Michigan,2%,31%,10%,31%,26%
Wyoming,,31%,10%,33%,26%
Connecticut,1%,32%,11%,31%,25%
Pennsylvania,2%,33%,10%,30%,25%
Maine,2%,31%,8%,29%,30%
Delaware,1%,29%,12%,32%,26%
Texas,3%,28%,10%,34%,25%
Arkansas,1%,32%,6%,33%,28%
Maryland,2%,27%,12%,32%,27%
Florida,3%,29%,9%,34%,25%
New York,3%,23%,14%,36%,24%
Illinois,2%,31%,12%,30%,25%
Vermont,3%,25%,18%,27%,27%
South Carolina,3%,36%,7%,28%,26%
Alabama,2%,34%,10%,27%,27%
Louisiana,3%,29%,8%,36%,24%
Tennessee,2%,32%,9%,30%,27%
North Carolina,2%,32%,9%,30%,27%
New Mexico,1%,27%,14%,32%,26%
Georgia,2%,30%,10%,33%,25%
Mississippi,2%,30%,9%,33%,26%
District of Columbia,3%,23%,18%,32%,24%
