Region,Counter Strike: (2006),Fortnite: (2006),Dota 2: (2006),League of Legends: (2006),PUBG: (2006),Counter Strike: (2007),Fortnite: (2007),Dota 2: (2007),League of Legends: (2007),PUBG: (2007),Counter Strike: (2008),Fortnite: (2008),Dota 2: (2008),League of Legends: (2008),PUBG: (2008),Counter Strike: (2009),Fortnite: (2009),Dota 2: (2009),League of Legends: (2009),PUBG: (2009),Counter Strike: (2010),Fortnite: (2010),Dota 2: (2010),League of Legends: (2010),PUBG: (2010),Counter Strike: (2011),Fortnite: (2011),Dota 2: (2011),League of Legends: (2011),PUBG: (2011),Counter Strike: (2012),Fortnite: (2012),Dota 2: (2012),League of Legends: (2012),PUBG: (2012),Counter Strike: (2013),Fortnite: (2013),Dota 2: (2013),League of Legends: (2013),PUBG: (2013),Counter Strike: (2014),Fortnite: (2014),Dota 2: (2014),League of Legends: (2014),PUBG: (2014),Counter Strike: (2015),Fortnite: (2015),Dota 2: (2015),League of Legends: (2015),PUBG: (2015),Counter Strike: (2016),Fortnite: (2016),Dota 2: (2016),League of Legends: (2016),PUBG: (2016),Counter Strike: (2017),Fortnite: (2017),Dota 2: (2017),League of Legends: (2017),PUBG: (2017),Counter Strike: (2018),Fortnite: (2018),Dota 2: (2018),League of Legends: (2018),PUBG: (2018),Counter Strike: (2019),Fortnite: (2019),Dota 2: (2019),League of Legends: (2019),PUBG: (2019),Counter Strike: (2020),Fortnite: (2020),Dota 2: (2020),League of Legends: (2020),PUBG: (2020),Counter Strike: (2021),Fortnite: (2021),Dota 2: (2021),League of Legends: (2021),PUBG: (2021)
Oklahoma,100,0,0,0,0,94,0,6,0,0,100,0,0,0,0,71,0,0,29,0,17,1,2,80,0,11,1,10,79,0,8,1,18,74,0,5,0,22,73,0,4,1,23,73,0,7,1,22,71,0,8,1,24,68,0,1,31,10,30,28,1,88,1,3,9,1,91,1,3,6,1,90,1,6,4,1,89,1,6,4
Illinois,100,0,0,0,0,99,0,1,1,0,97,0,3,1,0,81,0,1,19,0,26,1,3,71,0,11,1,9,80,0,10,1,19,71,1,4,1,24,72,0,6,1,27,67,0,7,1,27,66,1,6,1,26,68,0,2,31,12,30,25,1,90,1,2,7,1,91,1,4,4,1,90,1,5,4,1,89,1,6,4
Michigan,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,79,0,0,21,0,25,0,1,74,0,8,0,7,85,0,8,1,17,75,0,4,1,24,72,0,5,1,25,70,0,6,1,25,69,0,8,1,23,69,1,2,31,10,31,26,1,89,1,2,9,1,90,1,4,5,1,90,1,6,3,1,89,1,7,3
Hawaii,100,0,0,0,0,100,0,0,0,0,91,0,4,5,0,65,0,15,20,0,32,0,2,66,0,8,0,6,86,0,4,0,15,81,0,2,0,17,81,0,4,0,18,78,0,5,1,15,80,0,4,1,19,77,0,1,23,8,43,25,1,87,1,4,8,1,85,1,7,7,1,82,1,11,6,1,76,3,13,8
New York,100,0,0,0,0,100,0,1,0,0,100,0,1,0,0,77,0,1,22,0,26,0,1,73,0,12,1,9,79,0,8,1,20,72,0,5,1,24,71,0,5,1,26,69,1,8,1,24,68,1,7,1,25,68,0,3,23,14,36,24,1,89,1,3,7,1,89,1,5,5,1,87,1,7,5,1,84,2,7,7
Pennsylvania,100,0,0,0,0,100,0,0,0,0,100,0,1,0,0,75,0,2,23,0,21,0,2,77,0,9,1,8,83,0,8,1,20,72,0,4,1,26,70,0,5,1,28,67,0,7,1,27,66,1,6,1,28,66,0,2,33,10,30,25,1,90,1,2,8,1,91,1,4,4,1,91,1,5,3,1,90,1,6,3
New Hampshire,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,82,0,0,18,0,24,0,3,73,0,10,1,5,84,0,10,1,18,72,0,2,0,25,73,0,6,1,34,60,0,6,1,32,62,0,7,0,27,66,0,1,29,13,27,30,1,89,1,2,8,1,91,1,4,4,1,90,1,6,3,1,90,1,6,3
Alaska,100,0,0,0,0,100,0,0,0,0,92,0,8,0,0,73,0,0,27,0,21,0,7,72,0,5,1,14,81,0,12,0,29,59,0,2,0,26,72,0,5,1,29,66,0,6,0,29,65,0,6,0,20,74,0,1,23,10,32,34,1,81,1,3,15,1,79,2,7,12,1,81,1,7,11,1,80,2,7,11
Tennessee,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,64,0,2,32,2,18,0,3,79,0,11,1,7,82,0,9,1,17,74,0,4,0,22,74,0,4,1,23,73,0,7,1,22,71,0,7,1,25,68,0,2,32,9,30,27,1,89,1,2,9,1,91,1,4,5,1,91,1,5,4,1,90,1,5,4
Vermont,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,10,0,0,90,0,12,0,5,83,0,8,0,20,72,0,5,0,31,64,0,5,0,30,65,0,3,0,37,60,0,8,1,35,57,0,3,25,18,27,27,1,87,1,2,10,1,90,2,4,4,1,89,2,6,3,1,90,1,4,5
